"dataset","landmark","window","method","n","events","term","estimate","se"
"nafld",50,10,"naive",9587,101,"male",0.476092466580687,0.199823280332035
"nafld",50,10,"naive",9587,101,"bmi_z",0.241427556391685,0.0911441632426187
"nafld",50,10,"strict",2324,39,"male",0.217337617196215,0.320506055424169
"nafld",50,10,"strict",2324,39,"bmi_z",0.0614864092478352,0.15714605580112
"nafld",50,10,"delayed",5311,101,"male",0.537508746302662,0.200280258572014
"nafld",50,10,"delayed",5311,101,"bmi_z",0.229585202305377,0.0902029101482597
"pbcseq_death",50,10,"naive",221,48,"male",-0.138861767668949,0.387758211042864
"pbcseq_death",50,10,"naive",221,48,"log_bili_z",0.786879521088223,0.128424280298262
"pbcseq_death",50,10,"strict",67,15,"male",-0.566415919228747,0.806206272415121
"pbcseq_death",50,10,"strict",67,15,"log_bili_z",1.82194458265266,0.354305093851121
"pbcseq_death",50,10,"delayed",164,48,"male",-0.0303051523404688,0.393374636461203
"pbcseq_death",50,10,"delayed",164,48,"log_bili_z",1.14145135478,0.130197209739997
