dataset,entry_mode,estimator,cause,observations,unique_subjects,events,term,estimate,standard_error
nafld,strict,coxph_cluster,1,4467,4187,167,male,0.0350047716253877,0.174133978775431
nafld,strict,coxph_cluster,1,4467,4187,167,bmi_z,0.121170365614678,0.108112946311869
nafld,strict,coxph_cluster,1,4467,4187,167,hdl_z,-0.298885673448181,0.136155418696443
nafld,strict,coxph_cluster,1,4467,4187,167,bmi_z_LM_scaled,-0.00810478692535707,0.143684099898844
nafld,strict,coxph_cluster,1,4467,4187,167,hdl_z_LM_scaled,0.0371434915587108,0.136975671970673
pbcseq_age,strict,coxph_cluster,1,167,159,29,male,1.81074548872816,0.729742688479654
pbcseq_age,strict,coxph_cluster,1,167,159,29,stage0,0.289914604947948,0.21300925550028
pbcseq_age,strict,coxph_cluster,1,167,159,29,log_bili_z,1.52652071737203,0.239153095005207
pbcseq_age,strict,coxph_cluster,1,167,159,29,albumin_z,-1.15337085236455,0.295631912880936
pbcseq_age,strict,coxph_cluster,1,167,159,29,log_bili_z_LM_scaled,0.0514973595217595,0.317778047739578
pbcseq_age,strict,coxph_cluster,1,167,159,29,albumin_z_LM_scaled,0.737443809786254,0.394028098940875
mgus2,strict,coxph_cluster,1,1020,837,42,male,0.296936085921977,0.311946614711416
mgus2,strict,coxph_cluster,1,1020,837,42,hgb_z,-0.0698761195634014,0.161535214521494
mgus2,strict,coxph_cluster,1,1020,837,42,creat_z,-0.264500728260648,0.291788942242084
mgus2,strict,coxph_cluster,1,1020,837,42,mspike_z,0.552080499265335,0.157938810706481
mgus2,strict,coxph_cluster,1,1020,837,42,hgb_z_LM_scaled,0.093650850138034,0.19825597868057
mgus2,strict,coxph_cluster,1,1020,837,42,creat_z_LM_scaled,0.364637185209246,0.49067767866974
mgus2,strict,coxph_cluster,1,1020,837,42,mspike_z_LM_scaled,0.129899134113278,0.22241514291924
mgus2,strict,coxph_cluster,2,1020,837,310,male,0.319607591519638,0.118751562988361
mgus2,strict,coxph_cluster,2,1020,837,310,hgb_z,-0.218444942024571,0.0699459908560562
mgus2,strict,coxph_cluster,2,1020,837,310,creat_z,0.0408500335627965,0.0342505814649144
mgus2,strict,coxph_cluster,2,1020,837,310,mspike_z,-0.0595909774132407,0.0757655030469446
mgus2,strict,coxph_cluster,2,1020,837,310,hgb_z_LM_scaled,0.0722324554176645,0.0725166630851807
mgus2,strict,coxph_cluster,2,1020,837,310,creat_z_LM_scaled,-0.0385262297609688,0.0480072676791385
mgus2,strict,coxph_cluster,2,1020,837,310,mspike_z_LM_scaled,0.161140420714786,0.0829499462740372
flchain,strict,coxph_cluster,1,6502,5535,789,male,0.1719693204809,0.0816140874248579
flchain,strict,coxph_cluster,1,6502,5535,789,log_kappa_z,0.146316610903287,0.0597947086810534
flchain,strict,coxph_cluster,1,6502,5535,789,log_lambda_z,0.269715350462274,0.0599640652200094
flchain,strict,coxph_cluster,1,6502,5535,789,creat_z,0.0417283191552539,0.0453158366936423
flchain,strict,coxph_cluster,1,6502,5535,789,log_kappa_z_LM_scaled,-0.0403655475924557,0.0631063772008521
flchain,strict,coxph_cluster,1,6502,5535,789,log_lambda_z_LM_scaled,-0.0722506029936348,0.0639614209166262
flchain,strict,coxph_cluster,1,6502,5535,789,creat_z_LM_scaled,-0.00106917865339827,0.042849584670846
nhanes_1999_2000,strict,coxph_cluster,1,4796,3127,853,male,0.525764796356279,0.086942717060599
nhanes_1999_2000,strict,coxph_cluster,1,4796,3127,853,male_LM_scaled,-0.0905660744133895,0.0750593536127941
nhanes_1999_2000,strict,svycoxph,1,4796,3127,853,male,0.481216895879439,0.0752965385351478
nhanes_1999_2000,strict,svycoxph,1,4796,3127,853,male_LM_scaled,-0.0458793466841105,0.0806052097832071
nafld,delayed,coxph_cluster,1,4492,4196,168,male,0.0461243519910757,0.173000405015831
nafld,delayed,coxph_cluster,1,4492,4196,168,bmi_z,0.117226310993708,0.10844453594983
nafld,delayed,coxph_cluster,1,4492,4196,168,hdl_z,-0.299281958076314,0.135638622733032
nafld,delayed,coxph_cluster,1,4492,4196,168,bmi_z_LM_scaled,-0.0131842399567278,0.142739966950734
nafld,delayed,coxph_cluster,1,4492,4196,168,hdl_z_LM_scaled,0.0257746364422979,0.136379855468142
pbcseq_age,delayed,coxph_cluster,1,294,245,49,male,0.112371719805407,0.582475817998924
pbcseq_age,delayed,coxph_cluster,1,294,245,49,stage0,0.41579932361968,0.176891601227516
pbcseq_age,delayed,coxph_cluster,1,294,245,49,log_bili_z,1.24949565046602,0.158982889123271
pbcseq_age,delayed,coxph_cluster,1,294,245,49,albumin_z,-0.622223609014251,0.231219627251161
pbcseq_age,delayed,coxph_cluster,1,294,245,49,log_bili_z_LM_scaled,0.233459820199554,0.283088703253403
pbcseq_age,delayed,coxph_cluster,1,294,245,49,albumin_z_LM_scaled,0.321846118616674,0.305953309780977
mgus2,delayed,coxph_cluster,1,1485,1109,53,male,0.234781724488644,0.273538491891025
mgus2,delayed,coxph_cluster,1,1485,1109,53,hgb_z,-0.168123437928418,0.190020878713736
mgus2,delayed,coxph_cluster,1,1485,1109,53,creat_z,-0.683028292250121,0.518928704604676
mgus2,delayed,coxph_cluster,1,1485,1109,53,mspike_z,0.449481032643749,0.140802746208244
mgus2,delayed,coxph_cluster,1,1485,1109,53,hgb_z_LM_scaled,-0.260984664423875,0.296515444867644
mgus2,delayed,coxph_cluster,1,1485,1109,53,creat_z_LM_scaled,0.513455869520052,0.494545826592569
mgus2,delayed,coxph_cluster,1,1485,1109,53,mspike_z_LM_scaled,-0.0931920585564985,0.211716178109196
mgus2,delayed,coxph_cluster,2,1485,1109,407,male,0.351841502071987,0.105013700388105
mgus2,delayed,coxph_cluster,2,1485,1109,407,hgb_z,-0.297323076820185,0.0617983414908836
mgus2,delayed,coxph_cluster,2,1485,1109,407,creat_z,0.0478373642149828,0.0392298177991127
mgus2,delayed,coxph_cluster,2,1485,1109,407,mspike_z,-0.0127212013041915,0.0615221041062348
mgus2,delayed,coxph_cluster,2,1485,1109,407,hgb_z_LM_scaled,0.162886202480815,0.0652219352141706
mgus2,delayed,coxph_cluster,2,1485,1109,407,creat_z_LM_scaled,0.00142131444763852,0.0364665926874261
