dataset,entry_mode,landmark,cause,rows,unique_subjects,events
nafld,strict,50,1,2145,2145,33
nafld,strict,60,1,2080,2080,73
nafld,strict,70,1,1518,1518,116
nafld,delayed,50,1,4705,4705,74
nafld,delayed,60,1,4017,4017,140
nafld,delayed,70,1,2529,2529,199
pbcseq_age,strict,40,1,38,38,5
pbcseq_age,strict,50,1,67,67,9
pbcseq_age,strict,60,1,62,62,15
pbcseq_age,delayed,40,1,86,86,9
pbcseq_age,delayed,50,1,116,116,18
pbcseq_age,delayed,60,1,92,92,22
pbcseq_enrollment,shared,0,1,312,312,88
pbcseq_enrollment,shared,2,1,278,278,76
pbcseq_enrollment,shared,4,1,225,225,49
mgus2,strict,60,1,160,160,7
mgus2,strict,60,2,160,160,22
mgus2,strict,70,1,319,319,19
mgus2,strict,70,2,319,319,56
mgus2,strict,80,1,393,393,15
mgus2,strict,80,2,393,393,158
mgus2,strict,90,1,148,148,1
mgus2,strict,90,2,148,148,74
mgus2,delayed,60,1,272,272,9
mgus2,delayed,60,2,272,272,34
mgus2,delayed,70,1,521,521,23
mgus2,delayed,70,2,521,521,88
mgus2,delayed,80,1,520,520,19
mgus2,delayed,80,2,520,520,199
mgus2,delayed,90,1,172,172,2
mgus2,delayed,90,2,172,172,86
flchain,strict,60,1,2403,2403,73
flchain,strict,70,1,2212,2212,188
flchain,strict,80,1,1464,1464,306
flchain,strict,90,1,423,423,222
flchain,delayed,60,1,3207,3207,101
flchain,delayed,70,1,2864,2864,237
flchain,delayed,80,1,1810,1810,372
flchain,delayed,90,1,474,474,251
nhanes_1999_2000,strict,50,1,1473,1473,63
nhanes_1999_2000,strict,60,1,1227,1227,123
nhanes_1999_2000,strict,70,1,1189,1189,267
nhanes_1999_2000,strict,80,1,907,907,400
nhanes_1999_2000,delayed,50,1,1969,1969,89
nhanes_1999_2000,delayed,60,1,1882,1882,178
nhanes_1999_2000,delayed,70,1,1636,1636,363
nhanes_1999_2000,delayed,80,1,1178,1178,532
