dataset,id,fold,fold_seed
nafld,7,3,20261009
nafld,9,5,20261009
nafld,21,3,20261009
nafld,28,2,20261009
nafld,32,2,20261009
nafld,41,3,20261009
nafld,49,4,20261009
nafld,52,2,20261009
nafld,65,4,20261009
nafld,73,4,20261009
nafld,109,1,20261009
nafld,135,2,20261009
nafld,140,5,20261009
nafld,150,2,20261009
nafld,154,1,20261009
nafld,157,3,20261009
nafld,158,4,20261009
nafld,165,2,20261009
nafld,171,3,20261009
nafld,172,5,20261009
nafld,178,1,20261009
nafld,203,4,20261009
nafld,235,5,20261009
nafld,238,1,20261009
nafld,245,5,20261009
nafld,247,3,20261009
nafld,251,3,20261009
nafld,275,4,20261009
nafld,280,1,20261009
nafld,300,4,20261009
nafld,304,4,20261009
nafld,305,2,20261009
nafld,332,5,20261009
nafld,336,5,20261009
nafld,342,2,20261009
nafld,357,5,20261009
nafld,365,1,20261009
nafld,393,2,20261009
nafld,402,2,20261009
nafld,429,3,20261009
nafld,447,3,20261009
nafld,466,4,20261009
nafld,475,4,20261009
nafld,508,1,20261009
nafld,543,4,20261009
nafld,545,4,20261009
nafld,547,2,20261009
nafld,549,3,20261009
nafld,552,1,20261009
nafld,574,5,20261009
nafld,576,1,20261009
nafld,577,4,20261009
nafld,586,4,20261009
nafld,602,1,20261009
nafld,611,5,20261009
nafld,630,1,20261009
nafld,661,5,20261009
nafld,662,5,20261009
nafld,667,5,20261009
nafld,697,5,20261009
nafld,713,2,20261009
nafld,718,4,20261009
nafld,736,3,20261009
nafld,737,2,20261009
nafld,757,5,20261009
nafld,781,2,20261009
nafld,827,2,20261009
nafld,828,5,20261009
nafld,852,4,20261009
nafld,874,4,20261009
nafld,879,2,20261009
nafld,933,2,20261009
nafld,934,1,20261009
nafld,954,1,20261009
nafld,995,2,20261009
nafld,997,3,20261009
nafld,1002,1,20261009
nafld,1010,1,20261009
nafld,1011,2,20261009
nafld,1018,3,20261009
nafld,1050,2,20261009
nafld,1071,5,20261009
nafld,1072,2,20261009
nafld,1079,4,20261009
nafld,1087,2,20261009
nafld,1093,4,20261009
nafld,1114,1,20261009
nafld,1136,4,20261009
nafld,1147,2,20261009
nafld,1170,2,20261009
nafld,1189,3,20261009
nafld,1207,1,20261009
nafld,1218,3,20261009
nafld,1241,5,20261009
nafld,1244,5,20261009
nafld,1276,3,20261009
nafld,1306,1,20261009
nafld,1308,4,20261009
nafld,1309,1,20261009
nafld,1314,2,20261009
nafld,1334,4,20261009
nafld,1350,5,20261009
nafld,1359,5,20261009
nafld,1371,5,20261009
nafld,1374,5,20261009
nafld,1390,3,20261009
nafld,1404,3,20261009
nafld,1407,2,20261009
nafld,1421,1,20261009
nafld,1422,3,20261009
nafld,1423,5,20261009
nafld,1428,3,20261009
nafld,1434,3,20261009
nafld,1438,2,20261009
nafld,1441,4,20261009
nafld,1486,1,20261009
nafld,1488,1,20261009
nafld,1502,4,20261009
nafld,1504,4,20261009
nafld,1506,3,20261009
nafld,1527,2,20261009
nafld,1528,2,20261009
nafld,1530,2,20261009
nafld,1543,1,20261009
nafld,1558,1,20261009
nafld,1577,1,20261009
nafld,1578,4,20261009
nafld,1580,2,20261009
nafld,1586,1,20261009
nafld,1613,5,20261009
nafld,1615,3,20261009
nafld,1627,4,20261009
nafld,1628,2,20261009
nafld,1639,5,20261009
nafld,1649,2,20261009
nafld,1691,3,20261009
nafld,1700,3,20261009
nafld,1701,4,20261009
nafld,1711,2,20261009
nafld,1728,4,20261009
nafld,1734,2,20261009
nafld,1741,2,20261009
nafld,1757,4,20261009
nafld,1766,1,20261009
nafld,1773,4,20261009
nafld,1776,2,20261009
nafld,1786,2,20261009
nafld,1821,2,20261009
nafld,1828,1,20261009
nafld,1836,2,20261009
nafld,1855,1,20261009
nafld,1876,2,20261009
nafld,1902,1,20261009
nafld,1909,3,20261009
nafld,1916,5,20261009
nafld,1917,3,20261009
nafld,1918,2,20261009
nafld,1927,2,20261009
nafld,1936,5,20261009
nafld,1945,2,20261009
nafld,1950,2,20261009
nafld,1957,1,20261009
nafld,1977,1,20261009
nafld,1984,5,20261009
nafld,2002,2,20261009
nafld,2007,4,20261009
nafld,2008,2,20261009
nafld,2025,1,20261009
nafld,2028,1,20261009
nafld,2067,2,20261009
nafld,2097,1,20261009
nafld,2099,5,20261009
nafld,2146,2,20261009
nafld,2200,2,20261009
nafld,2201,2,20261009
nafld,2204,1,20261009
nafld,2251,2,20261009
nafld,2290,1,20261009
nafld,2293,4,20261009
nafld,2318,4,20261009
nafld,2332,3,20261009
nafld,2337,3,20261009
nafld,2358,2,20261009
nafld,2378,4,20261009
nafld,2397,2,20261009
nafld,2405,4,20261009
nafld,2410,5,20261009
nafld,2420,5,20261009
nafld,2472,2,20261009
nafld,2473,1,20261009
nafld,2480,1,20261009
nafld,2489,4,20261009
nafld,2515,2,20261009
nafld,2519,1,20261009
nafld,2531,2,20261009
nafld,2544,2,20261009
nafld,2556,3,20261009
nafld,2580,3,20261009
nafld,2590,3,20261009
nafld,2622,5,20261009
nafld,2625,4,20261009
nafld,2626,2,20261009
nafld,2628,4,20261009
nafld,2631,3,20261009
nafld,2651,5,20261009
nafld,2668,4,20261009
nafld,2671,3,20261009
nafld,2690,5,20261009
nafld,2691,5,20261009
nafld,2726,2,20261009
nafld,2727,5,20261009
nafld,2735,4,20261009
nafld,2738,3,20261009
nafld,2756,4,20261009
nafld,2763,4,20261009
nafld,2769,5,20261009
nafld,2774,4,20261009
nafld,2779,4,20261009
nafld,2826,5,20261009
nafld,2828,2,20261009
nafld,2834,4,20261009
nafld,2838,2,20261009
nafld,2857,4,20261009
nafld,2862,3,20261009
nafld,2863,2,20261009
nafld,2869,4,20261009
nafld,2882,3,20261009
nafld,2894,1,20261009
nafld,2902,3,20261009
nafld,2936,3,20261009
nafld,2944,5,20261009
nafld,2950,1,20261009
nafld,2959,5,20261009
nafld,2977,4,20261009
nafld,2978,5,20261009
nafld,2984,2,20261009
nafld,2990,5,20261009
nafld,3013,1,20261009
nafld,3046,2,20261009
nafld,3047,1,20261009
nafld,3056,3,20261009
nafld,3082,3,20261009
nafld,3097,2,20261009
nafld,3107,5,20261009
nafld,3110,3,20261009
nafld,3127,2,20261009
nafld,3130,3,20261009
nafld,3137,1,20261009
nafld,3145,2,20261009
nafld,3156,3,20261009
nafld,3162,3,20261009
nafld,3165,1,20261009
nafld,3169,2,20261009
nafld,3177,2,20261009
nafld,3206,1,20261009
nafld,3224,2,20261009
nafld,3233,3,20261009
nafld,3270,1,20261009
nafld,3273,2,20261009
nafld,3274,5,20261009
nafld,3275,1,20261009
nafld,3277,4,20261009
nafld,3285,5,20261009
nafld,3289,4,20261009
nafld,3307,1,20261009
nafld,3311,5,20261009
nafld,3347,3,20261009
nafld,3360,3,20261009
nafld,3371,3,20261009
nafld,3384,1,20261009
nafld,3388,3,20261009
nafld,3397,1,20261009
