"stage","message","call"
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"pen_lm","cox.fit: algorithm did not converge",""
"cv.pen_lm","cox.fit: algorithm did not converge",""
"cv.pen_lm","cox.fit: algorithm did not converge",""
"cv.pen_lm","cox.fit: algorithm did not converge",""
"cv.pen_lm","cox.fit: algorithm did not converge",""
"cv.pen_lm","cox.fit: algorithm did not converge",""
"cv.pen_lm","cox.fit: algorithm did not converge",""
"cv.pen_lm","cox.fit: algorithm did not converge",""
