"tLM","model","times","AUC","se","lower","upper","section","Brier"
0,"LM",4.9999,0.729712150942394,0.058065546674734,0.615905770717286,0.843518531167502,"AUC",
0,"penLM",4.9999,0.43473621759439,0.0452428461290058,0.346061868623451,0.523410566565328,"AUC",
2,"LM",6.9999,0.761378135897063,0.0538538013426118,0.655826624834969,0.866929646959157,"AUC",
2,"penLM",6.9999,0.363518749899338,0.0722498186307363,0.221911707493544,0.505125792305132,"AUC",
4,"LM",8.9999,0.860044768174116,0.0745714045602052,0.713887500959548,1,"AUC",
4,"penLM",8.9999,0.205293485240874,0.0898782979524972,0.0291352582622197,0.381451712219529,"AUC",
0,"Null model",4.9999,,0.0116246311559314,0.0202758207630391,0.0658435375614145,"Brier",0.0430596791622268
0,"LM",4.9999,,0.0112567750643731,0.0201548606388349,0.0642806080553144,"Brier",0.0422177343470746
0,"penLM",4.9999,,0.0116305768970643,0.020235228771877,0.0658262524472164,"Brier",0.0430307406095467
2,"Null model",6.9999,,0.0167607502888842,0.0354033066019677,0.101104240442132,"Brier",0.06825377352205
2,"LM",6.9999,,0.0155412510290409,0.0345117046316208,0.0954322892148531,"Brier",0.064971996923237
2,"penLM",6.9999,,0.0169620706170965,0.0356336858606297,0.102123780886098,"Brier",0.068878733373364
4,"Null model",8.9999,,0.0207821415265128,0.022170143380045,0.103634641207204,"Brier",0.0629023922936243
4,"LM",8.9999,,0.0164823309825661,0.0189246866304572,0.0835342368446535,"Brier",0.0512294617375554
4,"penLM",8.9999,,0.0215350591568762,0.0223335311798183,0.106749411884652,"Brier",0.0645414715322352
,"LM",,0.783711685004524,0.0420850302794725,0.70122654136848,0.866196828640568,"AUC_summary",
,"penLM",,0.334516150911534,0.041553413033082,0.253072957931976,0.415959343891092,"AUC_summary",
,"Null model",,,0.0099632257421489,0.0385443847015129,0.0775995119504212,"Brier_summary",0.058071948325967
,"LM",,,0.0087948971406276,0.0355687160259246,0.0700440793126534,"Brier_summary",0.052806397669289
,"penLM",,,0.0101784097349169,0.038867665338053,0.0787662983387108,"Brier_summary",0.058816981838382
