landmark_index,landmark,naive_rows,strict_rows,preentry_rows,preentry_fraction,naive_minus_strict_mean_x,preentry_vs_strict_p,riskset_shift_detected,diagnostic_cell_id,phase,regime,replicate,seed,gamma,theta,delta,entry_sd,entry_x_correlation,entry_x_p,entry_x_detected,entry_u_correlation_oracle,structural_difference_detected,any_riskset_shift_detected,combined_observed_diagnostic
1,50,655,570,85,0.129770992366412,-0.219900255773204,3.86447810756935e-92,1,1,focused,B,1,1200002001,-4,0,0,0.25,-0.997992142645806,0,1,,1,1,1
2,54,589,582,7,0.0118845500848896,-0.0266001827819118,1.28254330117833e-12,1,1,focused,B,1,1200002001,-4,0,0,0.25,-0.997992142645806,0,1,,1,1,1
3,58,515,515,0,0,0,1,0,1,focused,B,1,1200002001,-4,0,0,0.25,-0.997992142645806,0,1,,1,1,1
1,50,635,541,94,0.148031496062992,-0.253392106270753,2.93125229988458e-87,1,1,focused,B,2,1200002002,-4,0,0,0.25,-0.998146206710796,0,1,,1,1,1
2,54,572,560,12,0.020979020979021,-0.0467533398485757,1.15443201253083e-13,1,1,focused,B,2,1200002002,-4,0,0,0.25,-0.998146206710796,0,1,,1,1,1
3,58,512,511,1,0.001953125,-0.00589519860046089,1,0,1,focused,B,2,1200002002,-4,0,0,0.25,-0.998146206710796,0,1,,1,1,1
1,50,648,554,94,0.145061728395062,-0.256111134473032,9.69745155640429e-82,1,1,focused,B,3,1200002003,-4,0,0,0.25,-0.997980039261978,0,1,,1,1,1
2,54,593,580,13,0.0219224283305228,-0.0532886141099869,5.29275276264533e-15,1,1,focused,B,3,1200002003,-4,0,0,0.25,-0.997980039261978,0,1,,1,1,1
3,58,539,538,1,0.00185528756957328,-0.00544857565614915,1,0,1,focused,B,3,1200002003,-4,0,0,0.25,-0.997980039261978,0,1,,1,1,1
1,50,648,567,81,0.125,-0.215583212604789,9.98268590961382e-75,1,1,focused,B,4,1200002004,-4,0,0,0.25,-0.997998505121002,0,1,,1,1,1
2,54,580,568,12,0.0206896551724138,-0.0463087308223837,3.33869930518151e-14,1,1,focused,B,4,1200002004,-4,0,0,0.25,-0.997998505121002,0,1,,1,1,1
3,58,525,525,0,0,0,1,0,1,focused,B,4,1200002004,-4,0,0,0.25,-0.997998505121002,0,1,,1,1,1
1,50,657,545,112,0.170471841704718,-0.291697747492879,1.31007175147411e-103,1,1,focused,B,5,1200002005,-4,0,0,0.25,-0.997894136186016,0,1,,1,1,1
2,54,588,574,14,0.0238095238095238,-0.0527018479543721,5.16503878028951e-16,1,1,focused,B,5,1200002005,-4,0,0,0.25,-0.997894136186016,0,1,,1,1,1
3,58,521,520,1,0.00191938579654511,-0.00551303994155666,1,0,1,focused,B,5,1200002005,-4,0,0,0.25,-0.997894136186016,0,1,,1,1,1
1,50,647,560,87,0.134466769706337,-0.221350994389143,8.13080264619326e-70,1,1,focused,B,6,1200002006,-4,0,0,0.25,-0.997691727270209,0,1,,1,1,1
2,54,571,562,9,0.0157618213660245,-0.0382972994375761,7.17528230770284e-11,1,1,focused,B,6,1200002006,-4,0,0,0.25,-0.997691727270209,0,1,,1,1,1
3,58,522,522,0,0,0,1,0,1,focused,B,6,1200002006,-4,0,0,0.25,-0.997691727270209,0,1,,1,1,1
1,50,648,569,79,0.121913580246914,-0.209797800581002,9.63197318237559e-69,1,1,focused,B,7,1200002007,-4,0,0,0.25,-0.997795705005821,0,1,,1,1,1
2,54,577,569,8,0.0138648180242634,-0.0333257688578051,2.24754511017349e-07,1,1,focused,B,7,1200002007,-4,0,0,0.25,-0.997795705005821,0,1,,1,1,1
3,58,509,508,1,0.00196463654223969,-0.00622124612250069,1,0,1,focused,B,7,1200002007,-4,0,0,0.25,-0.997795705005821,0,1,,1,1,1
1,50,662,555,107,0.161631419939577,-0.271386536912417,7.75185166397962e-94,1,1,focused,B,8,1200002008,-4,0,0,0.25,-0.997795827193314,0,1,,1,1,1
2,54,584,572,12,0.0205479452054795,-0.0475407064522345,5.514485511334e-14,1,1,focused,B,8,1200002008,-4,0,0,0.25,-0.997795827193314,0,1,,1,1,1
3,58,524,524,0,0,0,1,0,1,focused,B,8,1200002008,-4,0,0,0.25,-0.997795827193314,0,1,,1,1,1
1,50,652,549,103,0.157975460122699,-0.273115339403381,6.22205744273754e-98,1,1,focused,B,9,1200002009,-4,0,0,0.25,-0.998014725262425,0,1,,1,1,1
2,54,597,583,14,0.0234505862646566,-0.0527133352368887,8.30127707884183e-20,1,1,focused,B,9,1200002009,-4,0,0,0.25,-0.998014725262425,0,1,,1,1,1
3,58,528,528,0,0,0,1,0,1,focused,B,9,1200002009,-4,0,0,0.25,-0.998014725262425,0,1,,1,1,1
1,50,646,539,107,0.165634674922601,-0.282832715738098,3.73858649792903e-90,1,1,focused,B,10,1200002010,-4,0,0,0.25,-0.998185576735691,0,1,,1,1,1
2,54,587,570,17,0.0289608177172061,-0.0666044272849474,2.6040435797935e-24,1,1,focused,B,10,1200002010,-4,0,0,0.25,-0.998185576735691,0,1,,1,1,1
3,58,520,520,0,0,0,1,0,1,focused,B,10,1200002010,-4,0,0,0.25,-0.998185576735691,0,1,,1,1,1
1,50,639,541,98,0.153364632237872,-0.246887222038634,6.83126966537936e-87,1,1,focused,B,11,1200002011,-4,0,0,0.25,-0.997879263520144,0,1,,1,1,1
2,54,585,573,12,0.0205128205128205,-0.0455755865104449,1.45314264446048e-15,1,1,focused,B,11,1200002011,-4,0,0,0.25,-0.997879263520144,0,1,,1,1,1
