diagnostic_cell_id,phase,regime,gamma,theta,delta,entry_sd,replicates,mean_entry_x_correlation,entry_x_detection_probability,entry_x_detection_mcse,mean_entry_u_correlation_oracle,structural_detection_probability,structural_detection_mcse,any_riskset_shift_detection_probability,any_riskset_shift_detection_mcse,combined_detection_probability,combined_detection_mcse,landmark_index,landmark,mean_naive_rows,mean_strict_rows,mean_preentry_rows,mean_preentry_fraction,mean_naive_minus_strict_mean_x,riskset_shift_detection_probability,riskset_shift_detection_mcse
1,focused,B,-4,0,0,0.25,1000,-0.997972752194338,1,0,,1,0,1,0,1,0,1,50,651.034,553.965,97.069,0.149089534475045,-0.259413744640161,1,0
1,focused,B,-4,0,0,0.25,1000,-0.997972752194338,1,0,,1,0,1,0,1,0,2,54,585.396,573.271,12.125,0.020713156399375,-0.0487955557047011,0.999,0.000999499874937461
1,focused,B,-4,0,0,0.25,1000,-0.997972752194338,1,0,,1,0,1,0,1,0,3,58,523.319,522.74,0.579,0.00110641288161157,-0.00355248981938203,0.069,0.00801492358042171
2,focused,B,-4,0,0,4,1000,-0.705447752249375,1,0,,1,0,1,0,1,0,1,50,644.489,488.182,156.307,0.242532361894329,-0.270241811761796,1,0
2,focused,B,-4,0,0,4,1000,-0.705447752249375,1,0,,1,0,1,0,1,0,2,54,584.841,537.01,47.831,0.0817851170000054,-0.108209773978452,1,0
2,focused,B,-4,0,0,4,1000,-0.705447752249375,1,0,,1,0,1,0,1,0,3,58,525.013,515.496,9.517,0.0181263282900119,-0.0301752161191276,0.963,0.00596917079668525
3,focused,B,-4,0,0,10,1000,-0.358284394702667,1,0,,1,0,1,0,1,0,1,50,621.954,390.694,231.26,0.371832372756638,-0.191365674983344,1,0
3,focused,B,-4,0,0,10,1000,-0.358284394702667,1,0,,1,0,1,0,1,0,2,54,573.512,433.422,140.09,0.244281759728304,-0.129239437180825,1,0
3,focused,B,-4,0,0,10,1000,-0.358284394702667,1,0,,1,0,1,0,1,0,3,58,522.336,448.494,73.842,0.141373486319284,-0.0788741267488514,0.985,0.00384382621875652
4,focused,B,-2,0,0,0.25,1000,-0.991787559182212,1,0,,0.997,0.00172945077987204,0.966,0.00573096850453743,1,0,1,50,656.591,650.016,6.575,0.0100135551611016,-0.0258955694707268,0.966,0.00573096850453743
4,focused,B,-2,0,0,0.25,1000,-0.991787559182212,1,0,,0.997,0.00172945077987204,0.966,0.00573096850453743,1,0,2,54,589.52,589.517,0.003,5.18215572863281e-06,-2.31499800054803e-05,0,0
4,focused,B,-2,0,0,0.25,1000,-0.991787559182212,1,0,,0.997,0.00172945077987204,0.966,0.00573096850453743,1,0,3,58,528.818,528.818,0,0,0,0,0
5,focused,B,-2,0,0,4,1000,-0.448034603121856,1,0,,1,0,1,0,1,0,1,50,649.391,544.031,105.36,0.162238485801585,-0.120389877819748,1,0
5,focused,B,-2,0,0,4,1000,-0.448034603121856,1,0,,1,0,1,0,1,0,2,54,586.267,568.306,17.961,0.0306293453071963,-0.029761787142136,0.938,0.00762600813007697
5,focused,B,-2,0,0,4,1000,-0.448034603121856,1,0,,1,0,1,0,1,0,3,58,525.237,523.688,1.549,0.00294978710564138,-0.00379912051384036,0.057,0.00733150734842433
6,focused,B,-2,0,0,10,1000,-0.204541379494914,1,0,,1,0,0.904,0.00931579304192617,1,0,1,50,624.39,406.07,218.32,0.349667164702797,-0.0981029632590195,0.86,0.0109726933794762
6,focused,B,-2,0,0,10,1000,-0.204541379494914,1,0,,1,0,0.904,0.00931579304192617,1,0,2,54,575.262,448.376,126.886,0.220601284469017,-0.0633630893416474,0.726,0.0141040419738457
6,focused,B,-2,0,0,10,1000,-0.204541379494914,1,0,,1,0,0.904,0.00931579304192617,1,0,3,58,523.442,460.38,63.062,0.120499829241688,-0.0369314581190198,0.486,0.0158051890213309
7,focused,B,-1,0,0,0.25,1000,-0.968208642387504,1,0,,0.001,0.000999499874937461,0,0,1,0,1,50,653.675,653.674,0.001,1.51975683890579e-06,-6.99853964628414e-06,0,0
7,focused,B,-1,0,0,0.25,1000,-0.968208642387504,1,0,,0.001,0.000999499874937461,0,0,1,0,2,54,585.114,585.114,0,0,0,0,0
7,focused,B,-1,0,0,0.25,1000,-0.968208642387504,1,0,,0.001,0.000999499874937461,0,0,1,0,3,58,523.683,523.683,0,0,0,0,0
8,focused,B,-1,0,0,4,1000,-0.249206417760202,1,0,,1,0,0.912,0.00895857131466843,1,0,1,50,649.493,564.551,84.942,0.130779791872272,-0.0549771201596698,0.904,0.00931579304192617
8,focused,B,-1,0,0,4,1000,-0.249206417760202,1,0,,1,0,0.912,0.00895857131466843,1,0,2,54,584.796,573.751,11.045,0.0188893436238839,-0.0102697723140429,0.23,0.0133078923951165
8,focused,B,-1,0,0,4,1000,-0.249206417760202,1,0,,1,0,0.912,0.00895857131466843,1,0,3,58,523.637,523.035,0.602,0.00115022724480046,-0.00083788291557081,0.006,0.00244213021765835
9,focused,B,-1,0,0,10,1000,-0.123146037571921,0.92,0.00857904423581089,,1,0,0.4,0.0154919333848297,0.921,0.00852988862764339,1,50,623.579,412.352,211.227,0.338737568504448,-0.0520848140643056,0.295,0.0144213383567546
9,focused,B,-1,0,0,10,1000,-0.123146037571921,0.92,0.00857904423581089,,1,0,0.4,0.0154919333848297,0.921,0.00852988862764339,2,54,573.982,453.112,120.87,0.210598896269581,-0.0330504392435424,0.201,0.0126727660753286
9,focused,B,-1,0,0,10,1000,-0.123146037571921,0.92,0.00857904423581089,,1,0,0.4,0.0154919333848297,0.921,0.00852988862764339,3,58,521.85,462.831,59.019,0.113106320527916,-0.0191562064609124,0.134,0.0107723720693262
10,focused,A,0,0,0,0.25,1000,-0.00150975912598191,0.054,0.00714730718522718,,0,0,0,0,0.054,0.00714730718522718,1,50,653.602,653.602,0,0,0,0,0
10,focused,A,0,0,0,0.25,1000,-0.00150975912598191,0.054,0.00714730718522718,,0,0,0,0,0.054,0.00714730718522718,2,54,585.881,585.881,0,0,0,0,0
