method,contrast,contrast_estimate,monte_carlo_se,ci_level,ci_lower,ci_upper,interval_includes_zero,arms_independent,arm_replicates,seed_overlap_count
delayed,delta_at_theta_0,-0.00187875848166799,0.00319135742728803,0.95,-0.00813370410094693,0.00437618713761095,1,1,3000,0
delayed,delta_at_theta_0p5,-0.00216114740929411,0.00317197054900992,0.95,-0.00837809544537528,0.00405580062678707,1,1,3000,0
delayed,theta_at_delta_0,-0.0530512902686927,0.00317083038583422,0.95,-0.059266003626013,-0.0468365769113724,0,1,3000,0
delayed,theta_at_delta_m2,-0.0533336791963188,0.00319249025946253,0.95,-0.0595908451258603,-0.0470765132667773,0,1,3000,0
delayed,theta_by_delta_interaction,-0.00028238892762612,0.00449957324559705,0.95,-0.00910139043479633,0.00853661257954409,1,1,3000,0
naive,delta_at_theta_0,-0.00216552054616973,0.00318727232199769,0.95,-0.00841245950620655,0.00408141841386709,1,1,3000,0
naive,delta_at_theta_0p5,-0.00396927705426866,0.00316798841826986,0.95,-0.0101784202575176,0.00223986614898028,1,1,3000,0
naive,theta_at_delta_0,-0.0535259863352159,0.0031671509266544,0.95,-0.0597334880850612,-0.0473184845853706,0,1,3000,0
naive,theta_at_delta_m2,-0.0553297428433148,0.00318810452787494,0.95,-0.0615783128968988,-0.0490811727897309,0,1,3000,0
naive,theta_by_delta_interaction,-0.00180375650809893,0.00449386865327242,0.95,-0.0106115772197664,0.00700406420356853,1,1,3000,0
strict,delta_at_theta_0,-0.00204364444228271,0.00327202896498489,0.95,-0.00845670337002497,0.00436941448545954,1,1,3000,0
strict,delta_at_theta_0p5,-0.00054629841774842,0.00324615002538251,0.95,-0.00690863555591192,0.00581603872041508,1,1,3000,0
strict,theta_at_delta_0,-0.0537548676915612,0.00324021357814489,0.95,-0.0601055696069428,-0.0474041657761795,0,1,3000,0
strict,theta_at_delta_m2,-0.0522575216670269,0.00327790779354704,0.95,-0.0586821028870222,-0.0458329404470315,0,1,3000,0
strict,theta_by_delta_interaction,0.00149734602453429,0.00460908489127625,0.95,-0.00753629436405485,0.0105309864131234,1,1,3000,0
