auc_cell_id,phase,regime,gamma,theta,delta,entry_sd,replicate,outer_seed,bootstrap_seed,method,strict_target_summary_auc,rows,events,subjects,estimate,estimated_se,covered,reject_half,converged,error
1,focused,B,-4,0,0,0.25,1,1200002001,1800006001,naive,0.606017101990918,1759,127,655,0.621370030907474,0.0280873172845523,1,1,1,""
1,focused,B,-4,0,0,0.25,1,1200002001,1800007001,strict,0.606017101990918,1667,126,652,0.603677740179418,0.0366903270834481,1,1,1,""
1,focused,B,-4,0,0,0.25,1,1200002001,1800008001,delayed,0.606017101990918,1759,127,655,0.620699586110965,0.0298686665551374,1,1,1,""
1,focused,B,-4,0,0,0.25,2,1200002002,1800006002,naive,0.606017101990918,1719,148,635,0.579754596835608,0.0369333176295091,1,1,1,""
1,focused,B,-4,0,0,0.25,2,1200002002,1800007002,strict,0.606017101990918,1612,142,628,0.579430684028316,0.03903150065707,1,1,1,""
1,focused,B,-4,0,0,0.25,2,1200002002,1800008002,delayed,0.606017101990918,1719,148,635,0.579220412398199,0.0342141602564891,1,1,1,""
1,focused,B,-4,0,0,0.25,3,1200002003,1800006003,naive,0.606017101990918,1780,179,648,0.636878018774814,0.0309814238079761,1,1,1,""
1,focused,B,-4,0,0,0.25,3,1200002003,1800007003,strict,0.606017101990918,1672,173,640,0.630473028639906,0.0280755535424029,1,1,1,""
1,focused,B,-4,0,0,0.25,3,1200002003,1800008003,delayed,0.606017101990918,1780,179,648,0.636612795680632,0.0343196748466774,1,1,1,""
1,focused,B,-4,0,0,0.25,4,1200002004,1800006004,naive,0.606017101990918,1753,137,648,0.613814834020093,0.0350078056701965,1,1,1,""
1,focused,B,-4,0,0,0.25,4,1200002004,1800007004,strict,0.606017101990918,1660,132,640,0.613691561750285,0.0357744792714119,1,1,1,""
1,focused,B,-4,0,0,0.25,4,1200002004,1800008004,delayed,0.606017101990918,1753,137,648,0.613594061315187,0.0404891106088833,1,1,1,""
1,focused,B,-4,0,0,0.25,5,1200002005,1800006005,naive,0.606017101990918,1766,153,657,0.595621361051029,0.0263463051833994,1,1,1,""
1,focused,B,-4,0,0,0.25,5,1200002005,1800007005,strict,0.606017101990918,1639,149,648,0.578145554292394,0.0315062154512964,1,1,1,""
1,focused,B,-4,0,0,0.25,5,1200002005,1800008005,delayed,0.606017101990918,1766,153,657,0.594937852182477,0.0290475332492846,1,1,1,""
1,focused,B,-4,0,0,0.25,6,1200002006,1800006006,naive,0.606017101990918,1740,136,647,0.595939838218789,0.0351823380695645,1,1,1,""
1,focused,B,-4,0,0,0.25,6,1200002006,1800007006,strict,0.606017101990918,1644,132,643,0.587947216715504,0.0424230196920634,1,1,1,""
1,focused,B,-4,0,0,0.25,6,1200002006,1800008006,delayed,0.606017101990918,1740,136,647,0.595324872683275,0.039325858467978,1,1,1,""
1,focused,B,-4,0,0,0.25,7,1200002007,1800006007,naive,0.606017101990918,1734,146,648,0.616829332992869,0.0375499044903254,1,1,1,""
1,focused,B,-4,0,0,0.25,7,1200002007,1800007007,strict,0.606017101990918,1646,141,641,0.619567362702135,0.029941256641464,1,1,1,""
1,focused,B,-4,0,0,0.25,7,1200002007,1800008007,delayed,0.606017101990918,1734,146,648,0.616653255208186,0.0339565339024442,1,1,1,""
1,focused,B,-4,0,0,0.25,8,1200002008,1800006008,naive,0.606017101990918,1770,164,662,0.575527405966515,0.0301368585703706,1,1,1,""
1,focused,B,-4,0,0,0.25,8,1200002008,1800007008,strict,0.606017101990918,1651,156,656,0.567242193969761,0.0297911862386528,1,1,1,""
1,focused,B,-4,0,0,0.25,8,1200002008,1800008008,delayed,0.606017101990918,1770,164,662,0.574535768818032,0.0290596336822032,1,1,1,""
1,focused,B,-4,0,0,0.25,9,1200002009,1800006009,naive,0.606017101990918,1777,155,652,0.625393148647613,0.0317286078335026,1,1,1,""
1,focused,B,-4,0,0,0.25,9,1200002009,1800007009,strict,0.606017101990918,1660,154,649,0.603062254801942,0.0344452362364827,1,1,1,""
1,focused,B,-4,0,0,0.25,9,1200002009,1800008009,delayed,0.606017101990918,1777,155,652,0.624825639218848,0.0279868887838373,1,1,1,""
1,focused,B,-4,0,0,0.25,10,1200002010,1800006010,naive,0.606017101990918,1753,144,646,0.623479890655094,0.035289471980935,1,1,1,""
1,focused,B,-4,0,0,0.25,10,1200002010,1800007010,strict,0.606017101990918,1629,138,637,0.623086506021611,0.0342267223821853,1,1,1,""
