auc_cell_id,phase,regime,gamma,theta,delta,entry_sd,method,strict_target_summary_auc,successful_replicates,bias,empirical_se,mean_estimated_se,se_ratio,coverage,coverage_mcse,power_against_half,power_mcse,mean_rows,mean_events,mean_subjects,failed_replicates
1,focused,B,-4,0,0,0.25,delayed,0.606017101990918,1000,0.00961059903604274,0.0346302804398693,0.0337752155338357,0.975308750169715,0.929,0.00812151463706124,0.916,0.00877177291087725,1759.664,146.715,651.034,0
1,focused,B,-4,0,0,0.25,naive,0.606017101990918,1000,0.0100749421799531,0.0346536421213016,0.0336519718650274,0.971094805770548,0.924,0.00837997613361756,0.919,0.00862780389206894,1759.749,146.715,651.034,0
1,focused,B,-4,0,0,0.25,strict,0.606017101990918,1000,-0.000365319060038278,0.0341450280346837,0.0337280901907051,0.987789207741899,0.946,0.00714730718522718,0.864,0.0108399261990108,1649.976,142.632,644.86,0
2,focused,B,-4,0,0,4,delayed,0.606872722458343,1000,0.011643764667535,0.032360193533336,0.033705554131997,1.04157455354138,0.931,0.00801492358042171,0.925,0.00832916562447884,1750.412,144.155,644.489,0
2,focused,B,-4,0,0,4,naive,0.606872722458343,1000,0.0120721352185944,0.0325062428074996,0.0339094367463281,1.04316690634283,0.931,0.00801492358042171,0.928,0.00817410545564467,1754.343,144.155,644.489,0
2,focused,B,-4,0,0,4,strict,0.606872722458343,1000,-0.00385476898723189,0.0327256956285957,0.0346853216212637,1.05988034646865,0.962,0.00604615580348373,0.84,0.0115931013969516,1540.688,134.927,626.672,0
3,focused,B,-4,0,0,10,delayed,0.610611325708897,1000,0.0291047340176075,0.0330102074828614,0.0334015834925988,1.01185621174725,0.845,0.0114444309600784,0.98,0.00442718872423573,1651.224,128.408,621.954,0
3,focused,B,-4,0,0,10,naive,0.610611325708897,1000,0.0208846591634587,0.034850122500671,0.0351970957964595,1.00995615713494,0.904,0.00931579304192617,0.957,0.00641490451994416,1717.802,128.408,621.954,0
3,focused,B,-4,0,0,10,strict,0.610611325708897,1000,-0.000815721155912427,0.0379911849005307,0.0379868300656608,0.999885372491505,0.939,0.00756828910652864,0.805,0.0125289664378192,1272.61,111.251,539.381,0
4,focused,B,-2,0,0,0.25,delayed,0.612357297270624,1000,-0.000613390019364764,0.0342620788484132,0.0332574089897239,0.970676914756566,0.928,0.00817410545564467,0.909,0.00909499862561837,1774.929,151.043,656.591,0
4,focused,B,-2,0,0,0.25,naive,0.612357297270624,1000,-0.000602690963101111,0.0342615517132434,0.0335071246301704,0.977980358584241,0.938,0.00762600813007697,0.906,0.00922843432007835,1774.929,151.043,656.591,0
4,focused,B,-2,0,0,0.25,strict,0.612357297270624,1000,-0.00142437255770423,0.0343067892538784,0.0333524975066464,0.972183589079991,0.932,0.00796090447122687,0.906,0.00922843432007835,1768.351,150.879,656.151,0
5,focused,B,-2,0,0,4,delayed,0.611402708382698,1000,0.00411351576531306,0.0326314221060292,0.0336438314863922,1.03102559787537,0.95,0.00689202437604511,0.928,0.00817410545564467,1760.576,147.118,649.391,0
5,focused,B,-2,0,0,4,naive,0.611402708382698,1000,0.00332123463295281,0.0327929847036605,0.0337629393907316,1.02957811543647,0.946,0.00714730718522718,0.916,0.00877177291087725,1760.895,147.118,649.391,0
5,focused,B,-2,0,0,4,strict,0.611402708382698,1000,-0.00163906916230012,0.0329548686496976,0.0342249321418732,1.03853947972532,0.953,0.00669260786241059,0.892,0.00981509042240569,1636.025,140.724,641.605,0
6,focused,B,-2,0,0,10,delayed,0.612373034189019,1000,0.0239704904398996,0.0331435632773478,0.0333427867556007,1.00601092515569,0.881,0.0102390917565964,0.98,0.00442718872423573,1668.806,130.983,624.39,0
6,focused,B,-2,0,0,10,naive,0.612373034189019,1000,0.0104516557135071,0.0352380203689509,0.0351034953552735,0.996182390149364,0.936,0.00773976743836661,0.919,0.00862780389206894,1723.094,130.983,624.39,0
6,focused,B,-2,0,0,10,strict,0.612373034189019,1000,-0.000162103478980102,0.0372706878235725,0.0374752763983097,1.0054892621168,0.95,0.00689202437604511,0.827,0.011961229033841,1314.826,113.686,552.549,0
7,focused,B,-1,0,0,0.25,delayed,0.613004669610282,1000,-0.000594780371056046,0.0341612237320724,0.0336322260622096,0.984514674473848,0.943,0.00733150734842434,0.904,0.00931579304192617,1762.472,150.358,653.675,0
7,focused,B,-1,0,0,0.25,naive,0.613004669610282,1000,-0.000594779248647294,0.0341612249270016,0.0335749997753067,0.982839457515133,0.939,0.00756828910652864,0.905,0.00927227048785787,1762.472,150.358,653.675,0
7,focused,B,-1,0,0,0.25,strict,0.613004669610282,1000,-0.00059502406274757,0.0341609651673374,0.0335902455965124,0.983293224648973,0.944,0.00727076337120113,0.903,0.00935900635751467,1762.471,150.358,653.675,0
8,focused,B,-1,0,0,4,delayed,0.612609832367232,1000,0.0026723972819012,0.0336493719494418,0.0337309512336694,1.00242439247752,0.937,0.00768316341099159,0.918,0.00867617427210865,1757.816,148.423,649.493,0
8,focused,B,-1,0,0,4,naive,0.612609832367232,1000,0.00192116256119275,0.0337048081770662,0.033587742691291,0.996526742262998,0.934,0.00785136930732468,0.927,0.00822623850857729,1757.926,148.423,649.493,0
8,focused,B,-1,0,0,4,strict,0.612609832367232,1000,0.000228993454378955,0.0338007070504456,0.0339916800324081,1.00564997003398,0.935,0.0077958322198467,0.91,0.00904986187739901,1661.337,142.45,643.337,0
