auc_cell_id,phase,regime,gamma,theta,delta,entry_sd,landmark,strict_target_auc,coarse_auc,quadrature_difference,strict_target_summary_auc
1,focused,B,-4,0,0,0.25,50,0.596036431081084,0.596036402492205,2.85888785978017e-08,0.606017101990918
1,focused,B,-4,0,0,0.25,54,0.609592599751423,0.609592575458929,2.42924945714762e-08,0.606017101990918
1,focused,B,-4,0,0,0.25,58,0.612422275140247,0.612422251357178,2.37830694027608e-08,0.606017101990918
2,focused,B,-4,0,0,4,50,0.60206839042754,0.602068363685221,2.67423194699745e-08,0.606872722458343
2,focused,B,-4,0,0,4,54,0.607563270620711,0.607563245590874,2.50298365367385e-08,0.606872722458343
2,focused,B,-4,0,0,4,58,0.610986506326778,0.610986482212691,2.41140872825341e-08,0.606872722458343
3,focused,B,-4,0,0,10,50,0.610183000081077,0.610182975530253,2.45508240404035e-08,0.610611325708897
3,focused,B,-4,0,0,10,54,0.610596715204125,0.610596690834932,2.4369192330731e-08,0.610611325708897
3,focused,B,-4,0,0,10,58,0.611054261841488,0.611054237647601,2.41938872269643e-08,0.610611325708897
4,focused,B,-2,0,0,0.25,50,0.611408058697212,0.611408034762862,2.39343495023192e-08,0.612357297270624
4,focused,B,-2,0,0,0.25,54,0.613000258805919,0.613000235115715,2.3690203687643e-08,0.612357297270624
4,focused,B,-2,0,0,0.25,58,0.612663574308741,0.612663550557575,2.37511653677913e-08,0.612357297270624
5,focused,B,-2,0,0,4,50,0.609855363694495,0.609855339141317,2.45531774911711e-08,0.611402708382698
5,focused,B,-2,0,0,4,54,0.611859604153714,0.611859580184946,2.3968767304261e-08,0.611402708382698
5,focused,B,-2,0,0,4,58,0.612493157299886,0.612493133509564,2.37903216016022e-08,0.611402708382698
6,focused,B,-2,0,0,10,50,0.612506808281262,0.612506784376146,2.39051159978132e-08,0.612373034189019
6,focused,B,-2,0,0,10,54,0.612366825710723,0.612366801821198,2.38895248028115e-08,0.612373034189019
6,focused,B,-2,0,0,10,58,0.612245468575073,0.612245444696825,2.38782481565281e-08,0.612373034189019
7,focused,B,-1,0,0,0.25,50,0.613348114070005,0.613348090444524,2.36254811269987e-08,0.613004669610282
7,focused,B,-1,0,0,0.25,54,0.613002320452096,0.613002296764389,2.36877067960606e-08,0.613004669610282
7,focused,B,-1,0,0,0.25,58,0.612663574308746,0.612663550557579,2.37511669221036e-08,0.613004669610282
8,focused,B,-1,0,0,4,50,0.612437103569489,0.612437079686818,2.38826710630136e-08,0.612609832367232
8,focused,B,-1,0,0,4,54,0.612754922582185,0.612754898829358,2.37528268165477e-08,0.612609832367232
8,focused,B,-1,0,0,4,58,0.61263747095002,0.612637447192321,2.37576991413135e-08,0.612609832367232
9,focused,B,-1,0,0,10,50,0.613139993220402,0.6131399695063,2.37141015713149e-08,0.612847276397413
9,focused,B,-1,0,0,10,54,0.612843233090917,0.612843209339852,2.37510651146522e-08,0.612847276397413
9,focused,B,-1,0,0,10,58,0.61255860288092,0.612558579090967,2.37899535626696e-08,0.612847276397413
10,focused,A,0,0,0,0.25,50,0.61334843270369,0.613348409080463,2.36232270411918e-08,0.613004775821511
10,focused,A,0,0,0,0.25,54,0.613002320452096,0.613002296764389,2.36877066850383e-08,0.613004775821511
10,focused,A,0,0,0,0.25,58,0.612663574308746,0.61266355055758,2.37511668110813e-08,0.613004775821511
11,focused,A,0,0,0,4,50,0.61334843270369,0.613348409080463,2.36232270411918e-08,0.613004775821511
11,focused,A,0,0,0,4,54,0.613002320452096,0.613002296764389,2.36877066850383e-08,0.613004775821511
11,focused,A,0,0,0,4,58,0.612663574308746,0.61266355055758,2.37511668110813e-08,0.613004775821511
12,focused,A,0,0,0,10,50,0.61334843270369,0.613348409080463,2.36232270411918e-08,0.613004775821511
12,focused,A,0,0,0,10,54,0.613002320452096,0.613002296764389,2.36877066850383e-08,0.613004775821511
12,focused,A,0,0,0,10,58,0.612663574308746,0.61266355055758,2.37511668110813e-08,0.613004775821511
13,frailty,C,0,0,-2,0.25,50,0.613345290502236,0.613335839558402,9.45094383431044e-06,0.613001625081437
