phase,gamma,theta,delta,landmark_interval,censoring_target,entry_sd,calibration_id,study_end,censor_rate,pilot_achieved_censoring,calibration_difference,pilot_n,calibration_seed
focused,-4,0,0,4,0.3,0.25,1,68,0.0185676266768446,0.30166,0.00165999999999999,50000,1700000001
focused,-4,0,0,4,0.3,4,2,68,0.018586148129019,0.30042,0.000420000000000031,50000,1700000002
focused,-4,0,0,4,0.3,10,3,68,0.0189156657979376,0.30236,0.00236000000000003,50000,1700000003
focused,-2,0,0,4,0.3,0.25,4,68,0.0174391626642755,0.29428,-0.00572,50000,1700000004
focused,-2,0,0,4,0.3,4,5,68,0.0179739115033332,0.29998,-1.99999999999645e-05,50000,1700000005
focused,-2,0,0,4,0.3,10,6,68,0.0184166308945256,0.30042,0.000420000000000031,50000,1700000006
focused,-1,0,0,4,0.3,0.25,7,68,0.0178610958589275,0.2989,-0.00109999999999999,50000,1700000007
focused,-1,0,0,4,0.3,4,8,68,0.0179632140506898,0.30374,0.00374000000000002,50000,1700000008
focused,-1,0,0,4,0.3,10,9,68,0.0184333546609683,0.30234,0.00234000000000001,50000,1700000009
focused,0,0,0,4,0.3,0.25,10,68,0.0174758935628196,0.2959,-0.00409999999999999,50000,1700000010
focused,0,0,0,4,0.3,4,11,68,0.0177193252928223,0.30034,0.000340000000000007,50000,1700000011
focused,0,0,0,4,0.3,10,12,68,0.0176880984061553,0.29616,-0.00384000000000001,50000,1700000012
confirmation,-4,0,0,2,0,0.25,1,64,0,0,0,50000,1710000001
confirmation,-4,0,0,2,0,4,2,64,0,0,0,50000,1710000002
confirmation,-4,0,0,2,0,10,3,64,0,0,0,50000,1710000003
confirmation,-4,0,0,2,0.15,0.25,4,64,0.0101816963728753,0.1552,0.00520000000000001,50000,1710000004
confirmation,-4,0,0,2,0.15,4,5,64,0.0101983227342304,0.14908,-0.000920000000000004,50000,1710000005
confirmation,-4,0,0,2,0.15,10,6,64,0.00980986947406683,0.15188,0.00187999999999999,50000,1710000006
confirmation,-4,0,0,2,0.3,0.25,7,64,0.0218550188382485,0.29928,-0.000719999999999998,50000,1710000007
confirmation,-4,0,0,2,0.3,4,8,64,0.0219996653728408,0.29262,-0.00738,50000,1710000008
confirmation,-4,0,0,2,0.3,10,9,64,0.0220479521039856,0.30016,0.000159999999999993,50000,1710000009
confirmation,-4,0,0,2,0.5,0.25,10,64,0.0439817558663892,0.49938,-0.000620000000000009,50000,1710000010
confirmation,-4,0,0,2,0.5,4,11,64,0.0442009514555065,0.50046,0.000460000000000016,50000,1710000011
confirmation,-4,0,0,2,0.5,10,12,64,0.0450770221628493,0.49656,-0.00344,50000,1710000012
confirmation,-4,0,0,4,0,0.25,13,68,0,0,0,50000,1710000013
confirmation,-4,0,0,4,0,4,14,68,0,0,0,50000,1710000014
confirmation,-4,0,0,4,0,10,15,68,0,0,0,50000,1710000015
confirmation,-4,0,0,4,0.15,0.25,16,68,0.00846627805511185,0.15164,0.00164,50000,1710000016
confirmation,-4,0,0,4,0.15,4,17,68,0.00826971776256605,0.14704,-0.00295999999999999,50000,1710000017
confirmation,-4,0,0,4,0.15,10,18,68,0.00828175983277806,0.15052,0.000519999999999993,50000,1710000018
confirmation,-4,0,0,4,0.3,0.25,19,68,0.0183116935807267,0.29988,-0.000120000000000009,50000,1710000019
confirmation,-4,0,0,4,0.3,4,20,68,0.0186751169623264,0.2998,-0.000199999999999978,50000,1710000020
confirmation,-4,0,0,4,0.3,10,21,68,0.0189075271545247,0.29838,-0.00162000000000001,50000,1710000021
confirmation,-4,0,0,4,0.5,0.25,22,68,0.0363517290921787,0.49556,-0.00444,50000,1710000022
confirmation,-4,0,0,4,0.5,4,23,68,0.0371370675286909,0.50638,0.00638000000000005,50000,1710000023
confirmation,-4,0,0,4,0.5,10,24,68,0.0382147966400833,0.49786,-0.00213999999999998,50000,1710000024
confirmation,-4,0,0,6,0,0.25,25,72,0,0,0,50000,1710000025
confirmation,-4,0,0,6,0,4,26,72,0,0,0,50000,1710000026
confirmation,-4,0,0,6,0,10,27,72,0,0,0,50000,1710000027
confirmation,-4,0,0,6,0.15,0.25,28,72,0.00715723001644741,0.1514,0.00140000000000001,50000,1710000028
confirmation,-4,0,0,6,0.15,4,29,72,0.00720667495638737,0.15324,0.00323999999999999,50000,1710000029
confirmation,-4,0,0,6,0.15,10,30,72,0.00726631164574679,0.15046,0.000460000000000016,50000,1710000030
confirmation,-4,0,0,6,0.3,0.25,31,72,0.0160992013322612,0.30354,0.00353999999999999,50000,1710000031
confirmation,-4,0,0,6,0.3,4,32,72,0.0160500791221913,0.30276,0.00275999999999998,50000,1710000032
confirmation,-4,0,0,6,0.3,10,33,72,0.0161412010432269,0.2987,-0.00129999999999997,50000,1710000033
confirmation,-4,0,0,6,0.5,0.25,34,72,0.0316091430864992,0.49892,-0.00108000000000003,50000,1710000034
confirmation,-4,0,0,6,0.5,4,35,72,0.0316722338629165,0.49736,-0.00263999999999998,50000,1710000035
confirmation,-4,0,0,6,0.5,10,36,72,0.0330806474944545,0.50202,0.00202000000000002,50000,1710000036
frailty,0,0,-2,4,0.3,0.25,1,68,0.0177894100182523,0.30232,0.00231999999999999,50000,1720000001
frailty,0,0,-2,4,0.3,4,2,68,0.0174880219115398,0.29518,-0.00481999999999999,50000,1720000002
frailty,0,0,-2,4,0.3,10,3,68,0.0180748457791041,0.30498,0.00497999999999998,50000,1720000003
frailty,0,0,0,4,0.3,0.25,4,68,0.0177212214373768,0.29976,-0.000239999999999962,50000,1720000004
frailty,0,0,0,4,0.3,4,5,68,0.0174929069375175,0.29798,-0.00201999999999997,50000,1720000005
frailty,0,0,0,4,0.3,10,6,68,0.018216782123921,0.30612,0.00612000000000001,50000,1720000006
frailty,0,0.5,-2,4,0.3,0.25,7,68,0.0183724526524329,0.30522,0.00522,50000,1720000007
frailty,0,0.5,-2,4,0.3,4,8,68,0.0182509338594322,0.29806,-0.00194,50000,1720000008
frailty,0,0.5,-2,4,0.3,10,9,68,0.0185814370862165,0.29986,-0.000139999999999973,50000,1720000009
frailty,0,0.5,0,4,0.3,0.25,10,68,0.0176461180946857,0.30594,0.00594,50000,1720000010
frailty,0,0.5,0,4,0.3,4,11,68,0.0175549163916234,0.29816,-0.00184000000000001,50000,1720000011
frailty,0,0.5,0,4,0.3,10,12,68,0.0179835864528055,0.2974,-0.00259999999999999,50000,1720000012
