phase,method,replicates,bias,coverage,coverage_mcse,power,power_mcse,theta,delta
confirmation,naive,108000,0.043249874244006,0.924944444444444,0.000801747045726708,0.929907407407407,0.000776862284951467,,
confirmation,strict,108000,0.00176220797740186,0.943703703703704,0.000701367865380954,0.853231481481482,0.00107680735445798,,
confirmation,delayed,108000,0.00213429701298026,0.944638888888889,0.000695862497643341,0.87612962962963,0.00100243454443502,,
frailty,naive,3000,0.000488795343319206,0.949,0.00401659059402374,0.914666666666667,0.00510070438127767,0,-2
frailty,strict,3000,-0.000178555864481757,0.950333333333333,0.00396652193946993,0.900333333333333,0.00546910176117377,0,-2
frailty,delayed,3000,-0.000119290816396113,0.950666666666667,0.00395388229278328,0.914,0.00511872379928174,0,-2
frailty,naive,3000,0.00265431588948894,0.944,0.00419777718957704,0.917666666666667,0.00501845114072578,0,0
frailty,strict,3000,0.00186508857780095,0.946,0.00412649972737186,0.904333333333333,0.00537011966209182,0,0
frailty,delayed,3000,0.00175946766527187,0.943666666666667,0.00420950863676071,0.916,0.00506438545136525,0,0
frailty,naive,3000,-0.0548409474999956,0.918666666666667,0.00499059856871639,0.812,0.00713339563835719,0.5,-2
frailty,strict,3000,-0.0524360775315086,0.919666666666667,0.00496252250671265,0.798333333333333,0.00732569046170671,0.5,-2
frailty,delayed,3000,-0.0534529700127149,0.920666666666667,0.00493421913969359,0.813666666666667,0.00710899013508535,0.5,-2
frailty,naive,3000,-0.050871670445727,0.927666666666667,0.00472938411149635,0.838333333333333,0.00672137276542909,0.5,0
frailty,strict,3000,-0.0518897791137602,0.929,0.00468895866193479,0.818,0.00704452506087766,0.5,0
frailty,delayed,3000,-0.0512918226034208,0.926666666666667,0.00475939616462549,0.837,0.00674366369268219,0.5,0
