phase,regime,cell_id,method,gamma,theta,delta,landmark_interval,censoring_target,n,entry_sd,successful_replicates,bias,empirical_se,mean_estimated_se,se_ratio,coverage,coverage_mcse,power,power_mcse,mean_rows,mean_events,mean_subjects,mean_entry_x_correlation,mean_observed_censoring,mean_preentry_fraction_lm1,mean_preentry_fraction_lm2,mean_preentry_fraction_lm3,failed_replicates
focused,B,1,delayed,-4,0,0,4,0.3,750,0.25,1000,0.00211732426734074,0.127661159038554,0.122976966636002,0.963307614956426,0.944,0.00727076337120113,0.911,0.00900438781928011,1759.664,146.715,651.034,-0.997972752194338,0.301137333333333,0.149089534475045,0.020713156399375,0.00110641288161157,0
focused,B,1,naive,-4,0,0,4,0.3,750,0.25,1000,0.0168760415827973,0.124505562344425,0.119807678673167,0.962267680392764,0.941,0.00745110730026082,0.936,0.00773976743836661,1759.749,146.715,651.034,-0.997972752194338,0.301137333333333,0.149089534475045,0.020713156399375,0.00110641288161157,0
focused,B,1,strict,-4,0,0,4,0.3,750,0.25,1000,0.00220478166846682,0.130350557162079,0.126913871725916,0.973635053727544,0.942,0.00739161687318817,0.896,0.00965318600255895,1649.976,142.632,644.86,-0.997972752194338,0.301137333333333,0.149089534475045,0.020713156399375,0.00110641288161157,0
focused,B,2,delayed,-4,0,0,4,0.3,750,4,1000,-0.0121048606790533,0.119174524216019,0.125002231052485,1.04890060920992,0.964,0.00589101010014412,0.887,0.0100115433375679,1750.412,144.155,644.489,-0.705447752249375,0.299709333333333,0.242532361894329,0.0817851170000054,0.0181263282900119,0
focused,B,2,naive,-4,0,0,4,0.3,750,4,1000,0.0252466978329633,0.114827270841431,0.120379981961581,1.04835707649813,0.961,0.00612200947402077,0.953,0.00669260786241059,1754.343,144.155,644.489,-0.705447752249375,0.299709333333333,0.242532361894329,0.0817851170000054,0.0181263282900119,0
focused,B,2,strict,-4,0,0,4,0.3,750,4,1000,-0.0124532029361728,0.122738265063422,0.129523868538612,1.05528515065521,0.964,0.00589101010014412,0.861,0.0109397897603199,1540.688,134.927,626.672,-0.705447752249375,0.299709333333333,0.242532361894329,0.0817851170000054,0.0181263282900119,0
focused,B,3,delayed,-4,0,0,4,0.3,750,10,1000,-0.000697006361972164,0.131766224124007,0.130821821526091,0.992832741438909,0.938,0.00762600813007697,0.871,0.0105999528300837,1651.224,128.408,621.954,-0.358284394702667,0.302582666666667,0.371832372756638,0.244281759728304,0.141373486319284,0
focused,B,3,naive,-4,0,0,4,0.3,750,10,1000,0.0705657552386649,0.128657816940681,0.127963212494618,0.994601148514878,0.927,0.00822623850857729,0.965,0.00581162627841812,1717.802,128.408,621.954,-0.358284394702667,0.302582666666667,0.371832372756638,0.244281759728304,0.141373486319284,0
focused,B,3,strict,-4,0,0,4,0.3,750,10,1000,-0.000180287315966107,0.139835584260818,0.137890887935615,0.986092979583965,0.937,0.00768316341099159,0.831,0.0118506961820815,1272.61,111.251,539.381,-0.358284394702667,0.302582666666667,0.371832372756638,0.244281759728304,0.141373486319284,0
focused,B,4,delayed,-2,0,0,4,0.3,750,0.25,1000,-0.00329649769422672,0.121932559134404,0.118378832838379,0.970854984745232,0.942,0.00739161687318817,0.92,0.00857904423581089,1774.929,151.043,656.591,-0.991787559182212,0.292234666666667,0.0100135551611016,5.18215572863281e-06,0,0
