"dataset","event_code","count"
"nafld1","0",16185
"nafld1","1",1364
"pbcseq","0",143
"pbcseq","1",29
"pbcseq","2",140
"mgus2_first_event","0",409
"mgus2_first_event","1",115
"mgus2_first_event","2",860
"flchain","0",5705
"flchain","1",2169
"rotterdam_first_event","0",1269
"rotterdam_first_event","1",1518
"rotterdam_first_event","2",195
"colon_endpoint_status","etype1_status0",461
"colon_endpoint_status","etype1_status1",468
"colon_endpoint_status","etype2_status0",477
"colon_endpoint_status","etype2_status1",452
