cell_id,replicates_checked,methods_checked,exact_cohort,exact_censored_cohort,exact_stack,exact_fit,runtime_seconds
1,1000,3,1,1,1,1,589.399
2,1000,3,1,1,1,1,589.399
3,1000,3,1,1,1,1,589.399
4,1000,3,1,1,1,1,589.399
5,1000,3,1,1,1,1,589.399
6,1000,3,1,1,1,1,589.399
7,1000,3,1,1,1,1,589.399
8,1000,3,1,1,1,1,589.399
9,1000,3,1,1,1,1,589.399
10,1000,3,1,1,1,1,589.399
11,1000,3,1,1,1,1,589.399
12,1000,3,1,1,1,1,589.399
13,1000,3,1,1,1,1,589.399
14,1000,3,1,1,1,1,589.399
15,1000,3,1,1,1,1,589.399
16,1000,3,1,1,1,1,589.399
17,1000,3,1,1,1,1,589.399
18,1000,3,1,1,1,1,589.399
19,1000,3,1,1,1,1,589.399
20,1000,3,1,1,1,1,589.399
21,1000,3,1,1,1,1,589.399
22,1000,3,1,1,1,1,589.399
23,1000,3,1,1,1,1,589.399
24,1000,3,1,1,1,1,589.399
25,1000,3,1,1,1,1,589.399
26,1000,3,1,1,1,1,589.399
27,1000,3,1,1,1,1,589.399
28,1000,3,1,1,1,1,589.399
29,1000,3,1,1,1,1,589.399
30,1000,3,1,1,1,1,589.399
31,1000,3,1,1,1,1,589.399
32,1000,3,1,1,1,1,589.399
33,1000,3,1,1,1,1,589.399
34,1000,3,1,1,1,1,589.399
35,1000,3,1,1,1,1,589.399
36,1000,3,1,1,1,1,589.399
37,1000,3,1,1,1,1,589.399
38,1000,3,1,1,1,1,589.399
39,1000,3,1,1,1,1,589.399
40,1000,3,1,1,1,1,589.399
41,1000,3,1,1,1,1,589.399
42,1000,3,1,1,1,1,589.399
43,1000,3,1,1,1,1,589.399
44,1000,3,1,1,1,1,589.399
45,1000,3,1,1,1,1,589.399
46,1000,3,1,1,1,1,589.399
47,1000,3,1,1,1,1,589.399
48,1000,3,1,1,1,1,589.399
49,1000,3,1,1,1,1,589.399
50,1000,3,1,1,1,1,589.399
51,1000,3,1,1,1,1,589.399
52,1000,3,1,1,1,1,589.399
53,1000,3,1,1,1,1,589.399
54,1000,3,1,1,1,1,589.399
55,1000,3,1,1,1,1,589.399
56,1000,3,1,1,1,1,589.399
57,1000,3,1,1,1,1,589.399
58,1000,3,1,1,1,1,589.399
59,1000,3,1,1,1,1,589.399
60,1000,3,1,1,1,1,589.399
61,1000,3,1,1,1,1,589.399
62,1000,3,1,1,1,1,589.399
63,1000,3,1,1,1,1,589.399
64,1000,3,1,1,1,1,589.399
65,1000,3,1,1,1,1,589.399
66,1000,3,1,1,1,1,589.399
67,1000,3,1,1,1,1,589.399
68,1000,3,1,1,1,1,589.399
69,1000,3,1,1,1,1,589.399
70,1000,3,1,1,1,1,589.399
71,1000,3,1,1,1,1,589.399
72,1000,3,1,1,1,1,589.399
73,1000,3,1,1,1,1,589.399
74,1000,3,1,1,1,1,589.399
75,1000,3,1,1,1,1,589.399
76,1000,3,1,1,1,1,589.399
77,1000,3,1,1,1,1,589.399
78,1000,3,1,1,1,1,589.399
79,1000,3,1,1,1,1,589.399
80,1000,3,1,1,1,1,589.399
81,1000,3,1,1,1,1,589.399
82,1000,3,1,1,1,1,589.399
83,1000,3,1,1,1,1,589.399
84,1000,3,1,1,1,1,589.399
85,1000,3,1,1,1,1,589.399
86,1000,3,1,1,1,1,589.399
87,1000,3,1,1,1,1,589.399
88,1000,3,1,1,1,1,589.399
89,1000,3,1,1,1,1,589.399
90,1000,3,1,1,1,1,589.399
91,1000,3,1,1,1,1,589.399
92,1000,3,1,1,1,1,589.399
93,1000,3,1,1,1,1,589.399
94,1000,3,1,1,1,1,589.399
95,1000,3,1,1,1,1,589.399
96,1000,3,1,1,1,1,589.399
97,1000,3,1,1,1,1,589.399
98,1000,3,1,1,1,1,589.399
99,1000,3,1,1,1,1,589.399
100,1000,3,1,1,1,1,589.399
101,1000,3,1,1,1,1,589.399
102,1000,3,1,1,1,1,589.399
103,1000,3,1,1,1,1,589.399
104,1000,3,1,1,1,1,589.399
105,1000,3,1,1,1,1,589.399
106,1000,3,1,1,1,1,589.399
107,1000,3,1,1,1,1,589.399
108,1000,3,1,1,1,1,589.399
