entry_sd,replicate,outer_seed,bootstrap_seed,method,estimate,estimated_se,covered,reject_half,converged,error
0.25,1,710002001,810004001,naive,0.609636307706098,0.0427339859134845,1,1,1,""
0.25,1,710002001,910004001,strict,0.609636307706098,0.0414884881107477,1,1,1,""
0.25,2,710002002,810004002,naive,0.56728310735643,0.0321851626176821,1,1,1,""
0.25,2,710002002,910004002,strict,0.56728310735643,0.0336327270861591,1,1,1,""
0.25,3,710002003,810004003,naive,0.631403834532168,0.0320169392657898,1,1,1,""
0.25,3,710002003,910004003,strict,0.631403834532168,0.032525295390301,1,1,1,""
0.25,4,710002004,810004004,naive,0.631046462306358,0.0337600795768575,1,1,1,""
0.25,4,710002004,910004004,strict,0.631046462306358,0.033643500402026,1,1,1,""
0.25,5,710002005,810004005,naive,0.545234347353724,0.0337328662689162,0,0,1,""
0.25,5,710002005,910004005,strict,0.545234347353724,0.0344780258725917,0,0,1,""
0.25,6,710002006,810004006,naive,0.646421671290828,0.0355697367412531,1,1,1,""
0.25,6,710002006,910004006,strict,0.646421671290828,0.0339192819020374,1,1,1,""
0.25,7,710002007,810004007,naive,0.620048980464256,0.0294093443041461,1,1,1,""
0.25,7,710002007,910004007,strict,0.620048980464256,0.0281888109655612,1,1,1,""
0.25,8,710002008,810004008,naive,0.648118675712239,0.0276020397322148,1,1,1,""
0.25,8,710002008,910004008,strict,0.648118675712239,0.0283232264059809,1,1,1,""
0.25,9,710002009,810004009,naive,0.615236575837866,0.0328386694396577,1,1,1,""
0.25,9,710002009,910004009,strict,0.615236575837866,0.0296058651917578,1,1,1,""
0.25,10,710002010,810004010,naive,0.575337480773979,0.0303641620557703,1,1,1,""
0.25,10,710002010,910004010,strict,0.575337480773979,0.0366733735393073,1,1,1,""
0.25,11,710002011,810004011,naive,0.648212421362906,0.0319479624884413,1,1,1,""
0.25,11,710002011,910004011,strict,0.648212421362906,0.0293842926307501,1,1,1,""
0.25,12,710002012,810004012,naive,0.678895900388888,0.0310075719069465,0,1,1,""
0.25,12,710002012,910004012,strict,0.678895900388888,0.0340575723215468,1,1,1,""
0.25,13,710002013,810004013,naive,0.573772152596824,0.0307893257378831,1,1,1,""
0.25,13,710002013,910004013,strict,0.573772152596824,0.0318937296865402,1,1,1,""
0.25,14,710002014,810004014,naive,0.583877515155666,0.0448799758825088,1,0,1,""
0.25,14,710002014,910004014,strict,0.583877515155666,0.0404787830814976,1,1,1,""
0.25,15,710002015,810004015,naive,0.559832195526624,0.0393756804346109,1,0,1,""
0.25,15,710002015,910004015,strict,0.559832195526624,0.0325609965216315,1,0,1,""
0.25,16,710002016,810004016,naive,0.6068606842357,0.0420320266710614,1,1,1,""
0.25,16,710002016,910004016,strict,0.6068606842357,0.0348625398311368,1,1,1,""
0.25,17,710002017,810004017,naive,0.659577966463011,0.0373335763386466,1,1,1,""
0.25,17,710002017,910004017,strict,0.659577966463011,0.0392176004182816,1,1,1,""
0.25,18,710002018,810004018,naive,0.584595355601271,0.0348287337159614,1,1,1,""
0.25,18,710002018,910004018,strict,0.584595355601271,0.0380202436711329,1,1,1,""
0.25,19,710002019,810004019,naive,0.616435844070351,0.037249191174298,1,1,1,""
0.25,19,710002019,910004019,strict,0.616435844070351,0.0359153382531171,1,1,1,""
0.25,20,710002020,810004020,naive,0.616772965105186,0.0361274443258329,1,1,1,""
0.25,20,710002020,910004020,strict,0.616772965105186,0.0342662139205745,1,1,1,""
0.25,21,710002021,810004021,naive,0.662395287366566,0.0306028589994971,1,1,1,""
0.25,21,710002021,910004021,strict,0.662395287366566,0.03417490254897,1,1,1,""
0.25,22,710002022,810004022,naive,0.618098171918732,0.0278873647985977,1,1,1,""
0.25,22,710002022,910004022,strict,0.618098171918732,0.0330782421578228,1,1,1,""
0.25,23,710002023,810004023,naive,0.592646983550995,0.0331322230749671,1,1,1,""
0.25,23,710002023,910004023,strict,0.592646983550995,0.037119444367467,1,1,1,""
0.25,24,710002024,810004024,naive,0.674649596696713,0.0311762253164002,0,1,1,""
0.25,24,710002024,910004024,strict,0.674649596696713,0.0306253522706178,0,1,1,""
0.25,25,710002025,810004025,naive,0.633823529158466,0.0341386042083517,1,1,1,""
0.25,25,710002025,910004025,strict,0.633823529158466,0.0301754019871078,1,1,1,""
0.25,26,710002026,810004026,naive,0.530955832840606,0.0320081883782145,0,0,1,""
0.25,26,710002026,910004026,strict,0.530955832840606,0.0326207468434903,0,0,1,""
0.25,27,710002027,810004027,naive,0.574143462388772,0.0389844394711867,1,0,1,""
0.25,27,710002027,910004027,strict,0.574143462388772,0.0342985826241253,1,1,1,""
0.25,28,710002028,810004028,naive,0.566857054146422,0.0305548568455751,1,1,1,""
