calibration_id,landmark_interval,censoring_target,entry_sd,study_end,censor_rate,pilot_achieved_censoring,pilot_n,seed
1,2,0,0.25,64,0,0,50000,510000001
2,2,0.15,0.25,64,0.00935455505368637,0.14822,50000,510000002
3,2,0.3,0.25,64,0.0209386595416534,0.30034,50000,510000003
4,2,0.5,0.25,64,0.040899845313492,0.49784,50000,510000004
5,2,0,4,64,0,0,50000,510000005
6,2,0.15,4,64,0.00955915600221909,0.15074,50000,510000006
7,2,0.3,4,64,0.0210163600188013,0.30062,50000,510000007
8,2,0.5,4,64,0.0413844682497951,0.4987,50000,510000008
9,2,0,10,64,0,0,50000,510000009
10,2,0.15,10,64,0.00946065826051822,0.15154,50000,510000010
11,2,0.3,10,64,0.0215374942769801,0.3046,50000,510000011
12,2,0.5,10,64,0.0436405347706183,0.502,50000,510000012
13,4,0,0.25,68,0,0,50000,510000013
14,4,0.15,0.25,68,0.00794420961865639,0.15308,50000,510000014
15,4,0.3,0.25,68,0.017730565301616,0.30196,50000,510000015
16,4,0.5,0.25,68,0.0347418598300612,0.49932,50000,510000016
17,4,0,4,68,0,0,50000,510000017
18,4,0.15,4,68,0.0079620714643161,0.15286,50000,510000018
19,4,0.3,4,68,0.0176194142527554,0.29814,50000,510000019
20,4,0.5,4,68,0.0350036899739846,0.49764,50000,510000020
21,4,0,10,68,0,0,50000,510000021
22,4,0.15,10,68,0.00790928663755782,0.14564,50000,510000022
23,4,0.3,10,68,0.0183510301023199,0.302,50000,510000023
24,4,0.5,10,68,0.036455550745589,0.50062,50000,510000024
25,6,0,0.25,72,0,0,50000,510000025
26,6,0.15,0.25,72,0.00685367368634159,0.1479,50000,510000026
27,6,0.3,0.25,72,0.0153983821527663,0.30016,50000,510000027
28,6,0.5,0.25,72,0.030013776471362,0.49638,50000,510000028
29,6,0,4,72,0,0,50000,510000029
30,6,0.15,4,72,0.00698707460980971,0.15206,50000,510000030
31,6,0.3,4,72,0.0153225304453787,0.29972,50000,510000031
32,6,0.5,4,72,0.0305818734380316,0.50458,50000,510000032
33,6,0,10,72,0,0,50000,510000033
34,6,0.15,10,72,0.00681480539501541,0.14666,50000,510000034
35,6,0.3,10,72,0.0157218351722718,0.30008,50000,510000035
36,6,0.5,10,72,0.0317491440559031,0.5014,50000,510000036
