cell_id,runtime_seconds
1,15.556
2,15.527
3,15.598
4,14.788
5,14.77
6,14.471
7,13.842
8,13.936
9,14.217
10,13.663
11,13.098
12,13.644
13,19.818
14,19.556
15,19.902
16,19.187
17,18.708
18,18.156
19,17.095
20,16.305
21,19.183
22,16.518
23,15.846
24,15.898
25,50.073
26,49.205
27,46.064
28,44.896
29,45.299
30,45.1
31,43.434
32,42.787
33,37.64
34,35.122
35,33.893
36,32.937
37,18.918
38,18.517
39,18.151
40,17.412
41,28.043
42,26.637
43,23.898
44,22.798
45,19.809
46,18.996
47,19.324
48,18.283
49,33.492
50,35.193
51,36.739
52,36.417
53,37.857
54,33.721
55,31.956
56,31.707
57,27.403
58,21.476
59,20.809
60,22.062
61,54.041
62,56.159
63,51.072
64,50.217
65,56.295
66,57.752
67,54.994
68,55.07
69,51.345
70,48.823
71,50.404
72,50.233
73,23.241
74,26.164
75,25.602
76,23.503
77,22.642
78,25.57
79,23.899
80,22.621
81,17.994
82,16.269
83,18.432
84,20.053
85,24.922
86,25.062
87,27.693
88,27.647
89,22.728
90,22.599
91,22.346
92,22.193
93,22.437
94,19.265
95,19.241
96,20.1079999999999
97,44.674
98,46.401
99,46.757
100,44.064
101,40.699
102,43.704
103,41.967
104,42.284
105,19.148
106,20.861
107,24.727
108,27.716
