landmark_interval,censoring_target,entry_sd,cell_id,n,study_end,censor_rate
2,0,0.25,1,500,64,0
4,0,0.25,2,500,68,0
6,0,0.25,3,500,72,0
2,0.15,0.25,4,500,64,0.00935455505368637
4,0.15,0.25,5,500,68,0.00794420961865639
6,0.15,0.25,6,500,72,0.00685367368634159
2,0.3,0.25,7,500,64,0.0209386595416534
4,0.3,0.25,8,500,68,0.017730565301616
6,0.3,0.25,9,500,72,0.0153983821527663
2,0.5,0.25,10,500,64,0.040899845313492
4,0.5,0.25,11,500,68,0.0347418598300612
6,0.5,0.25,12,500,72,0.030013776471362
2,0,0.25,13,750,64,0
4,0,0.25,14,750,68,0
6,0,0.25,15,750,72,0
2,0.15,0.25,16,750,64,0.00935455505368637
4,0.15,0.25,17,750,68,0.00794420961865639
6,0.15,0.25,18,750,72,0.00685367368634159
2,0.3,0.25,19,750,64,0.0209386595416534
4,0.3,0.25,20,750,68,0.017730565301616
6,0.3,0.25,21,750,72,0.0153983821527663
2,0.5,0.25,22,750,64,0.040899845313492
4,0.5,0.25,23,750,68,0.0347418598300612
6,0.5,0.25,24,750,72,0.030013776471362
2,0,0.25,25,1500,64,0
4,0,0.25,26,1500,68,0
6,0,0.25,27,1500,72,0
2,0.15,0.25,28,1500,64,0.00935455505368637
4,0.15,0.25,29,1500,68,0.00794420961865639
6,0.15,0.25,30,1500,72,0.00685367368634159
2,0.3,0.25,31,1500,64,0.0209386595416534
4,0.3,0.25,32,1500,68,0.017730565301616
6,0.3,0.25,33,1500,72,0.0153983821527663
2,0.5,0.25,34,1500,64,0.040899845313492
4,0.5,0.25,35,1500,68,0.0347418598300612
6,0.5,0.25,36,1500,72,0.030013776471362
2,0,4,37,500,64,0
4,0,4,38,500,68,0
6,0,4,39,500,72,0
2,0.15,4,40,500,64,0.00955915600221909
4,0.15,4,41,500,68,0.0079620714643161
6,0.15,4,42,500,72,0.00698707460980971
2,0.3,4,43,500,64,0.0210163600188013
4,0.3,4,44,500,68,0.0176194142527554
6,0.3,4,45,500,72,0.0153225304453787
2,0.5,4,46,500,64,0.0413844682497951
4,0.5,4,47,500,68,0.0350036899739846
6,0.5,4,48,500,72,0.0305818734380316
2,0,4,49,750,64,0
4,0,4,50,750,68,0
6,0,4,51,750,72,0
2,0.15,4,52,750,64,0.00955915600221909
4,0.15,4,53,750,68,0.0079620714643161
6,0.15,4,54,750,72,0.00698707460980971
2,0.3,4,55,750,64,0.0210163600188013
4,0.3,4,56,750,68,0.0176194142527554
6,0.3,4,57,750,72,0.0153225304453787
2,0.5,4,58,750,64,0.0413844682497951
4,0.5,4,59,750,68,0.0350036899739846
6,0.5,4,60,750,72,0.0305818734380316
2,0,4,61,1500,64,0
4,0,4,62,1500,68,0
6,0,4,63,1500,72,0
2,0.15,4,64,1500,64,0.00955915600221909
4,0.15,4,65,1500,68,0.0079620714643161
6,0.15,4,66,1500,72,0.00698707460980971
2,0.3,4,67,1500,64,0.0210163600188013
4,0.3,4,68,1500,68,0.0176194142527554
6,0.3,4,69,1500,72,0.0153225304453787
2,0.5,4,70,1500,64,0.0413844682497951
4,0.5,4,71,1500,68,0.0350036899739846
6,0.5,4,72,1500,72,0.0305818734380316
2,0,10,73,500,64,0
4,0,10,74,500,68,0
6,0,10,75,500,72,0
2,0.15,10,76,500,64,0.00946065826051822
4,0.15,10,77,500,68,0.00790928663755782
6,0.15,10,78,500,72,0.00681480539501541
2,0.3,10,79,500,64,0.0215374942769801
4,0.3,10,80,500,68,0.0183510301023199
6,0.3,10,81,500,72,0.0157218351722718
2,0.5,10,82,500,64,0.0436405347706183
4,0.5,10,83,500,68,0.036455550745589
6,0.5,10,84,500,72,0.0317491440559031
2,0,10,85,750,64,0
4,0,10,86,750,68,0
6,0,10,87,750,72,0
2,0.15,10,88,750,64,0.00946065826051822
4,0.15,10,89,750,68,0.00790928663755782
6,0.15,10,90,750,72,0.00681480539501541
2,0.3,10,91,750,64,0.0215374942769801
4,0.3,10,92,750,68,0.0183510301023199
6,0.3,10,93,750,72,0.0157218351722718
2,0.5,10,94,750,64,0.0436405347706183
4,0.5,10,95,750,68,0.036455550745589
6,0.5,10,96,750,72,0.0317491440559031
2,0,10,97,1500,64,0
4,0,10,98,1500,68,0
6,0,10,99,1500,72,0
2,0.15,10,100,1500,64,0.00946065826051822
4,0.15,10,101,1500,68,0.00790928663755782
6,0.15,10,102,1500,72,0.00681480539501541
2,0.3,10,103,1500,64,0.0215374942769801
4,0.3,10,104,1500,68,0.0183510301023199
6,0.3,10,105,1500,72,0.0157218351722718
2,0.5,10,106,1500,64,0.0436405347706183
4,0.5,10,107,1500,68,0.036455550745589
6,0.5,10,108,1500,72,0.0317491440559031
