"report_file","trace_id","found"
"00_EXECUTIVE_SUMMARY","07_informative_entry::regression_cells",TRUE
"00_EXECUTIVE_SUMMARY","07_informative_entry::regression_replicates_per_cell",TRUE
"00_EXECUTIVE_SUMMARY","07_informative_entry::regression_exact_cohort_cells",TRUE
"00_EXECUTIVE_SUMMARY","07_informative_entry::regression_exact_fit_cells",TRUE
"00_EXECUTIVE_SUMMARY","08_hygiene::clean_clone_repeat_exit_failures",TRUE
"00_EXECUTIVE_SUMMARY","08_hygiene::clean_clone_repeat_test_passes",TRUE
"00_EXECUTIVE_SUMMARY","08_hygiene::clean_clone_new_failure",TRUE
"00_EXECUTIVE_SUMMARY","07_informative_entry::pooled_confirmation_naive_bias",TRUE
"00_EXECUTIVE_SUMMARY","07_informative_entry::pooled_confirmation_naive_coverage",TRUE
"00_EXECUTIVE_SUMMARY","07_informative_entry::pooled_confirmation_strict_bias",TRUE
"00_EXECUTIVE_SUMMARY","07_informative_entry::pooled_confirmation_strict_coverage",TRUE
"00_EXECUTIVE_SUMMARY","07_informative_entry::pooled_confirmation_delayed_bias",TRUE
"00_EXECUTIVE_SUMMARY","07_informative_entry::pooled_confirmation_delayed_coverage",TRUE
"00_EXECUTIVE_SUMMARY","07_informative_entry::focused_cell_003_naive_bias",TRUE
"00_EXECUTIVE_SUMMARY","07_informative_entry::focused_cell_003_strict_bias",TRUE
"00_EXECUTIVE_SUMMARY","07_informative_entry::focused_cell_003_delayed_bias",TRUE
"00_EXECUTIVE_SUMMARY","07_informative_entry::auc_cell_003_naive_bias",TRUE
"00_EXECUTIVE_SUMMARY","07_informative_entry::auc_cell_003_strict_bias",TRUE
"00_EXECUTIVE_SUMMARY","07_informative_entry::auc_cell_003_delayed_bias",TRUE
"00_EXECUTIVE_SUMMARY","07_informative_entry::frailty_cell_009_strict_bias",TRUE
"00_EXECUTIVE_SUMMARY","07_informative_entry::auc_cell_021_strict_bias",TRUE
"00_EXECUTIVE_SUMMARY","07_informative_entry::auc_total_bootstrap_resamples",TRUE
"00_EXECUTIVE_SUMMARY","07_informative_entry::auc_failures",TRUE
"00_EXECUTIVE_SUMMARY","08_hygiene::cran_age_post_warnings",TRUE
"00_EXECUTIVE_SUMMARY","08_hygiene::cran_age_post_notes",TRUE
"00_EXECUTIVE_SUMMARY","08_hygiene::cran_branch_diagnostics_fixed",TRUE
"03_break_diagnosis","03_break_diagnosis::prediction_window_years",TRUE
"03_break_diagnosis","03_break_diagnosis::pbc_landmark_1",TRUE
"03_break_diagnosis","03_break_diagnosis::pbc_landmark_4",TRUE
"03_break_diagnosis","03_break_diagnosis::nafld_landmark_1",TRUE
"03_break_diagnosis","03_break_diagnosis::nafld_landmark_5",TRUE
"03_break_diagnosis","03_break_diagnosis::pbcseq_cause1_observations_used",TRUE
"03_break_diagnosis","03_break_diagnosis::pbcseq_cause1_events_used",TRUE
"03_break_diagnosis","03_break_diagnosis::pbcseq_cause2_events_used",TRUE
"03_break_diagnosis","03_break_diagnosis::pbcseq_cause1_nonfinite_coefficients",TRUE
"03_break_diagnosis","03_break_diagnosis::pbcseq_cause2_nonfinite_coefficients",TRUE
"03_break_diagnosis","03_break_diagnosis::pbc_model_failed",TRUE
"03_break_diagnosis","03_break_diagnosis::pbc_prediction_failed",TRUE
"03_break_diagnosis","03_break_diagnosis::pbc_score_attempted",TRUE
"03_break_diagnosis","03_break_diagnosis::nafld_cause1_observations_used",TRUE
"03_break_diagnosis","03_break_diagnosis::nafld_cause1_events_used",TRUE
"03_break_diagnosis","03_break_diagnosis::nafld_cause1_nonfinite_coefficients",TRUE
"03_break_diagnosis","03_break_diagnosis::nafld_model_failed",TRUE
"03_break_diagnosis","03_break_diagnosis::error_count",TRUE
"03_break_diagnosis","03_break_diagnosis::warning_count",TRUE
"03_break_diagnosis","03_break_diagnosis::nafld_naive_minus_strict_bmi_z_naive",TRUE
"03_break_diagnosis","03_break_diagnosis::nafld_naive_minus_strict_bmi_z_reference",TRUE
"03_break_diagnosis","03_break_diagnosis::nafld_naive_minus_strict_bmi_z_difference",TRUE
"03_break_diagnosis","03_break_diagnosis::nafld_naive_minus_delayed_bmi_z_reference",TRUE
"03_break_diagnosis","03_break_diagnosis::nafld_naive_minus_delayed_bmi_z_difference",TRUE
"03_break_diagnosis","03_break_diagnosis::pbcseq_death_naive_minus_strict_log_bili_z_naive",TRUE
"03_break_diagnosis","03_break_diagnosis::pbcseq_death_naive_minus_strict_log_bili_z_reference",TRUE
"03_break_diagnosis","03_break_diagnosis::pbcseq_death_naive_minus_strict_log_bili_z_difference",TRUE
"03_break_diagnosis","03_break_diagnosis::pbcseq_death_naive_minus_delayed_log_bili_z_reference",TRUE
"03_break_diagnosis","03_break_diagnosis::pbcseq_death_naive_minus_delayed_log_bili_z_difference",TRUE
"04_correction","04_correction::pbcseq_death_strict_lm_50_rows",TRUE
"04_correction","04_correction::pbcseq_death_delayed_lm_50_rows",TRUE
"04_correction","04_correction::nafld_strict_lm_50_rows",TRUE
"04_correction","04_correction::nafld_delayed_lm_50_rows",TRUE
"04_correction","04_correction::toy_censor_survival_horizon_early_entry",TRUE
"04_correction","04_correction::toy_censor_survival_horizon_late_entry",TRUE
"04_correction","04_correction::toy_inverse_weight_horizon_early_entry",TRUE
"04_correction","04_correction::toy_inverse_weight_horizon_late_entry",TRUE
"04_correction","04_correction::toy_auc",TRUE
"04_correction","04_correction::toy_brier",TRUE
"04_correction","04_correction::strict_validation_max_auc_difference",TRUE
"04_correction","04_correction::strict_validation_max_brier_difference",TRUE
"04_correction","04_correction::pbcseq_death_strict_summary_auc",TRUE
"04_correction","04_correction::pbcseq_death_strict_summary_brier",TRUE
"04_correction","04_correction::pbcseq_death_delayed_summary_auc",TRUE
"04_correction","04_correction::pbcseq_death_delayed_summary_brier",TRUE
"05_simulation","05_simulation::truth_beta",TRUE
"05_simulation","05_simulation::hazard_ratio",TRUE
"05_simulation","05_simulation::lambda0",TRUE
"05_simulation","05_simulation::calibration_pilot_n",TRUE
"05_simulation","05_simulation::grid_cells",TRUE
"05_simulation","05_simulation::replicates_per_cell",TRUE
"05_simulation","05_simulation::methods",TRUE
"05_simulation","05_simulation::total_model_fits",TRUE
"05_simulation","05_simulation::fit_failures",TRUE
"05_simulation","05_simulation::parallel_cores",TRUE
"05_simulation","05_simulation::wall_runtime_seconds",TRUE
"05_simulation","05_simulation::engine_validation_max_estimate_difference",TRUE
"05_simulation","05_simulation::engine_validation_max_robust_se_difference",TRUE
"05_simulation","05_simulation::design_cells_per_entry_sd",TRUE
"05_simulation","05_simulation::cell_092_naive_empirical_se",TRUE
"05_simulation","05_simulation::cell_092_naive_mean_estimated_se",TRUE
"05_simulation","05_simulation::cell_092_naive_coverage",TRUE
"05_simulation","05_simulation::cell_092_naive_coverage_mcse",TRUE
"05_simulation","05_simulation::cell_092_strict_empirical_se",TRUE
"05_simulation","05_simulation::cell_092_strict_mean_estimated_se",TRUE
"05_simulation","05_simulation::cell_092_strict_coverage",TRUE
"05_simulation","05_simulation::cell_092_strict_coverage_mcse",TRUE
"05_simulation","05_simulation::auc_truth_interval_4_landmark_50_auc",TRUE
"05_simulation","05_simulation::auc_truth_interval_4_landmark_54_auc",TRUE
"05_simulation","05_simulation::auc_truth_interval_4_landmark_58_auc",TRUE
"05_simulation","05_simulation::auc_truth_interval_4_landmark_50_summary_auc",TRUE
"05_simulation","05_simulation::auc_design_landmark_interval",TRUE
"05_simulation","05_simulation::auc_design_censoring_target",TRUE
"05_simulation","05_simulation::auc_design_sample_size",TRUE
"05_simulation","05_simulation::auc_outer_replicates_per_cell",TRUE
"05_simulation","05_simulation::auc_bootstrap_replicates",TRUE
"05_simulation","05_simulation::auc_total_bootstrap_resamples",TRUE
"05_simulation","05_simulation::auc_coverage_failures",TRUE
"05_simulation","05_simulation::diagnostic_entry_sd_4_rejection_probability",TRUE
"05_simulation","05_simulation::diagnostic_entry_sd_4_rejection_mcse",TRUE
"05_simulation","05_simulation::diagnostic_entry_sd_10_rejection_probability",TRUE
"05_simulation","05_simulation::diagnostic_entry_sd_10_rejection_mcse",TRUE
"05_simulation","05_simulation::diagnostic_entry_sd_4_mean_delta_auc",TRUE
"05_simulation","05_simulation::diagnostic_entry_sd_10_mean_delta_auc",TRUE
"06_application","06_application::pbcseq_enrollment_shared_0_1_rows",TRUE
"06_application","06_application::pbcseq_enrollment_shared_2_1_rows",TRUE
"06_application","06_application::pbcseq_enrollment_shared_4_1_rows",TRUE
"06_application","06_application::landmark_interaction_scale_years",TRUE
